STATION;STATION_NAME;ELEVATION;LATITUDE;LONGITUDE;DATE;PRCP;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMAX;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMIN;Measurement Flag;Quality Flag;Source Flag;Time of Observation
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030302;0; ; ;s;9999;100; ; ;s;9999;17; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030303;0; ; ;s;9999;68; ; ;s;9999;-13; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030304;0; ; ;s;9999;45; ; ;s;9999;-24; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030305;0; ; ;s;9999;41; ; ;s;9999;-12; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030306;9; ; ;s;9999;31; ; ;s;9999;-5; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030307;0;T; ;s;9999;117; ; ;s;9999;-14; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030308;0; ; ;s;9999;98; ; ;s;9999;-20; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030309;0; ; ;s;9999;98; ; ;s;9999;-20; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030310;3; ; ;s;9999;73; ; ;s;9999;-3; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030311;24; ; ;s;9999;55; ; ;s;9999;23; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030312;0; ; ;s;9999;84; ; ;s;9999;-9; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030313;0; ; ;s;9999;67; ; ;s;9999;-17; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030314;0; ; ;s;9999;72; ; ;s;9999;-11; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030315;14; ; ;s;9999;51; ; ;s;9999;10; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030316;76; ; ;s;9999;68; ; ;s;9999;2; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030317;0; ; ;s;9999;116; ; ;s;9999;16; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030318;0; ; ;s;9999;134; ; ;s;9999;5; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030319;0;T; ;s;9999;143; ; ;s;9999;54; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030320;203; ; ;s;9999;97; ; ;s;9999;30; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030321;0;T; ;s;9999;117; ; ;s;9999;42; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030322;0; ; ;s;9999;112; ; ;s;9999;14; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030323;0; ; ;s;9999;117; ; ;s;9999;47; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030324;0; ; ;s;9999;175; ; ;s;9999;18; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030325;0; ; ;s;9999;204; ; ;s;9999;37; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030326;0; ; ;s;9999;183; ; ;s;9999;112; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030327;0; ; ;s;9999;147; ; ;s;9999;63; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030328;0; ; ;s;9999;164; ; ;s;9999;35; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030329;0; ; ;s;9999;208; ; ;s;9999;54; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030330;0; ; ;s;9999;209; ; ;s;9999;84; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030331;0; ; ;s;9999;164; ; ;s;9999;108; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030401;21; ; ;s;9999;153; ; ;s;9999;72; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030402;17; ; ;s;9999;162; ; ;s;9999;57; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030403;0;T; ;s;9999;169; ; ;s;9999;99; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030404;0; ; ;s;9999;207; ; ;s;9999;45; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030405;0; ; ;s;9999;242; ; ;s;9999;60; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030406;0; ; ;s;9999;203; ; ;s;9999;97; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030407;0; ; ;s;9999;196; ; ;s;9999;145; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030408;0; ; ;s;9999;168; ; ;s;9999;88; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030409;4; ; ;s;9999;124; ; ;s;9999;63; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030410;35; ; ;s;9999;87; ; ;s;9999;61; ; ;s;9999
