AquaCrop 4.0 (June 2012) - Output created on (date) : 01/05/2014   at (time) : 10:16:34
Electrical conductivity of the saturated soil-paste extract (dS/m) at various depths (at center of compartments)

                 at depth (m):      0.05        0.15        0.25        0.35        0.45        0.55        0.65        0.75        0.85        0.95
   Day Month  Year   DAP Stage      ECe1        ECe2        ECe3        ECe4        ECe5        ECe6        ECe7        ECe8        ECe9       ECe10       ECe11       ECe12
     2    12  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3    12  1996    -9    0        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4    12  1996     1    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5    12  1996     2    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6    12  1996     3    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7    12  1996     4    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8    12  1996     5    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9    12  1996     6    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10    12  1996     7    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11    12  1996     8    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12    12  1996     9    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13    12  1996    10    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14    12  1996    11    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15    12  1996    12    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16    12  1996    13    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17    12  1996    14    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18    12  1996    15    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19    12  1996    16    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20    12  1996    17    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21    12  1996    18    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22    12  1996    19    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23    12  1996    20    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24    12  1996    21    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25    12  1996    22    1        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26    12  1996    23    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27    12  1996    24    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28    12  1996    25    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29    12  1996    26    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30    12  1996    27    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    31    12  1996    28    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1     1  1997    29    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2     1  1997    30    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3     1  1997    31    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4     1  1997    32    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5     1  1997    33    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6     1  1997    34    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7     1  1997    35    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8     1  1997    36    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9     1  1997    37    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10     1  1997    38    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11     1  1997    39    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12     1  1997    40    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13     1  1997    41    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14     1  1997    42    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15     1  1997    43    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16     1  1997    44    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17     1  1997    45    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18     1  1997    46    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19     1  1997    47    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20     1  1997    48    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21     1  1997    49    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22     1  1997    50    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23     1  1997    51    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24     1  1997    52    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25     1  1997    53    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26     1  1997    54    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27     1  1997    55    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28     1  1997    56    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29     1  1997    57    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30     1  1997    58    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    31     1  1997    59    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1     2  1997    60    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2     2  1997    61    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3     2  1997    62    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4     2  1997    63    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5     2  1997    64    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6     2  1997    65    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7     2  1997    66    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8     2  1997    67    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9     2  1997    68    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10     2  1997    69    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11     2  1997    70    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12     2  1997    71    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13     2  1997    72    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14     2  1997    73    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15     2  1997    74    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16     2  1997    75    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17     2  1997    76    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18     2  1997    77    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19     2  1997    78    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20     2  1997    79    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21     2  1997    80    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22     2  1997    81    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23     2  1997    82    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24     2  1997    83    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25     2  1997    84    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26     2  1997    85    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27     2  1997    86    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28     2  1997    87    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1     3  1997    88    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2     3  1997    89    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3     3  1997    90    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4     3  1997    91    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5     3  1997    92    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6     3  1997    93    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7     3  1997    94    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8     3  1997    95    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9     3  1997    96    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10     3  1997    97    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11     3  1997    98    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12     3  1997    99    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
